filter,mag,emag,limmag,mjd,instrument
B,18.67897816285655,0.4038648210572027,19.09,58582.82892361097,Swift
U,18.80241532936854,0.10306245415000095,22.12,58582.8279513889,Swift
UVM2,18.549896541021532,0.06828338121757295,22.79,58582.83464120375,Swift
UVW1,18.605532345137906,0.1934927608859547,20.04,58582.8260532408,Swift
UVW2,18.684517630680922,0.10794694428241657,21.35,58582.82991898153,Swift
V,18.289375939839957,0.11313129181906165,20.75,58582.83366898168,Swift
B,18.457135097412976,0.28939048851807414,19.19,58583.577546296176,Swift
U,19.219244659641635,0.09839760733289284,22.52,58583.57656250009,Swift
UVM2,18.84984795800858,0.09333818822500824,22.02,58583.583263888955,Swift
UVW1,18.49412490470626,0.14198279111330256,20.37,58583.574664351996,Swift
UVW2,18.873095041909355,0.1005175127482333,21.82,58583.578530092724,Swift
V,18.51183638465274,0.10730068396278825,21.13,58583.58228009241,Swift
