,mag,emag,wave,instrument,freq,mag0,mag0_abs,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc
0,20.492,0.124,2079.0336838585954,UVOT,1441979802095357.8,20.281990930185533,-14.554675665136944,6.356235799378417e-09,7.259343804405101e-10,2.307949218754303e-28,2.6358677353794923e-29,3.3280161577054656e-13,3.800868035412059e-14,1.6007514373354517e-16,1.828189733009912e-17,1.91529138370369e+24,2.187420208872604e+23
1,20.471,0.172,2255.07772455265,UVOT,1329410754830950.2,20.265704282259968,-14.570962313062509,6.4803729419229136e-09,1.0266067771582203e-09,2.35302341521221e-28,3.7276092078614984e-29,3.1281346345521643e-13,4.955523770737955e-14,1.3871515826234798e-16,2.1974957744398828e-17,1.6597201864844757e+24,2.6292931084390302e+23
2,20.081,0.155,2614.221270963571,UVOT,1146775375634137.0,19.93541822866183,-14.901248366660646,9.281111710201665e-09,1.3249740671600151e-09,3.3699716619742244e-28,4.810980837858015e-29,3.864600518536888e-13,5.5171143575032605e-14,1.4782989341649884e-16,2.1104236350543187e-17,1.7687775535329488e+24,2.5251117131042157e+23
3,19.631,0.145,3475.494701506968,UVOT,862589311012359.0,19.52202433583789,-15.314642259484586,1.4047531026968764e-08,1.8760468610920377e-09,5.100658515892358e-28,6.811926152625188e-29,4.3997735149329107e-13,5.87589468666003e-14,1.2659416551621205e-16,1.6906642625903742e-17,1.514693092163997e+24,2.0228716459971674e+23
4,18.812,0.139,4359.055837249707,UVOT,687746312947324.8,18.720641305815565,-16.11602528950691,2.986757755033484e-08,3.8237587190172024e-09,1.0844917408526581e-27,1.3884067908751463e-28,7.458551961932412e-13,9.548716512954092e-14,1.7110475847077688e-16,2.1905469600450768e-17,2.047260192721003e+24,2.6209788854891626e+23
5,18.194,0.171,5430.085524243962,UVOT,552095278539356.9,18.124860414020898,-16.71180618130158,5.2771568176481246e-08,8.311354193248594e-09,1.916135640488034e-27,3.0178527075685647e-28,1.0578894401544302e-12,1.6661422311758191e-13,1.9482003283948673e-16,3.0683535714804386e-17,2.331012308141034e+24,3.6712702675408536e+23
6,19.636,0.082,3561.788818359375,SDSS,841690715785024.8,19.528457697431122,-15.308208897891355,1.3982988484658372e-08,1.056062283561242e-09,5.077223118779455e-28,3.83456215161087e-29,4.2734515610457547e-13,3.227515362111518e-14,1.1998048674357354e-16,9.061501191410249e-18,1.4355607442405508e+24,1.0842042524864398e+23
7,18.54,0.015,4718.87255859375,SDSS,635305264716324.1,18.457427797628636,-16.37923879769384,3.837072454922785e-08,5.301111501265964e-10,1.3932410083824632e-27,1.9248335861096715e-29,8.851333476440592e-13,1.2228569109582763e-14,1.8757305620218608e-16,2.5914175383509285e-18,2.244302581773847e+24,3.100618601376307e+22
8,18.056,0.026,6185.1953125,SDSS,484693599560442.3,17.99621242411465,-16.840454171207828,5.992389025834776e-08,1.4349905068000599e-09,2.1758364552806074e-27,5.210450530191018e-29,1.054614003564791e-12,2.5254720228098994e-14,1.7050617648782468e-16,4.08309179454048e-18,2.0400981881296038e+24,4.885399663280643e+22
9,17.885,0.028,7499.70361328125,SDSS,399739074313678.94,17.839135746498602,-16.997530848823875,7.014552984199699e-08,1.8089797751687341e-09,2.5469841885629106e-27,6.568405563637673e-29,1.0181291018277146e-12,2.6256483597253422e-14,1.3575591174359296e-16,3.5010028330660594e-18,1.624312944439071e+24,4.18893302488939e+22
10,17.697,0.089,8961.48828125,SDSS,334534229796686.44,17.664115071669872,-17.172551523652604,8.340651974086626e-08,6.837001680892428e-09,3.028490731790854e-27,2.482515310332041e-28,1.0131338144060567e-12,8.304863473004113e-14,1.1305419173797535e-16,9.267281518830155e-18,1.3526879581489513e+24,1.1088257695346534e+23
11,18.538,0.042,4866.4505661537405,PS1,616039254739506.5,18.45871389723228,-16.377952698090198,3.844147117595774e-08,1.4870479425063462e-09,1.3958098183990256e-27,5.399471079240543e-29,8.598736402846217e-13,3.326286139642863e-14,1.7669421040975117e-16,6.83513804245182e-18,2.1141377159182535e+24,8.178209741872552e+22
12,18.029,0.03,6214.633225101053,PS1,482397668762061.56,17.969531195694586,-16.86713539962789,6.143275612705201e-08,1.697449781756263e-09,2.2306233749732587e-27,6.163440157556991e-29,1.076047515973262e-12,2.973229163559966e-14,1.7314738891220165e-16,4.784239159200936e-18,2.071700167555971e+24,5.724319107561175e+22
13,17.845,0.033,7544.570864938457,PS1,397361842531312.06,17.79960726109771,-17.037059334224768,7.277798045368243e-08,2.212022906159368e-09,2.642568470273209e-27,8.031855172264666e-29,1.050055876362913e-12,3.1915527701957364e-14,1.3918033181221615e-16,4.230264155947816e-18,1.6652859656005165e+24,5.0614906847524075e+22
14,17.755,0.05,8679.49560448613,PS1,345403087530855.7,17.720199783768667,-17.11646681155381,7.906786279998246e-08,3.641209644362761e-09,2.870954098267363e-27,1.3221232218681187e-28,9.916364097009108e-13,4.566654429294907e-14,1.1425046510633273e-16,5.261428356429562e-18,1.3670013113750022e+24,6.295273683350783e+22
15,17.71,0.063,9633.336065790516,PS1,311203155327062.56,17.680739264748357,-17.15592733057412,8.241381150130013e-08,4.782073308256816e-09,2.992445495612208e-27,1.73637081822805e-28,9.312584803787746e-13,5.4036407745040256e-14,9.667040306896582e-17,5.6093140918162295e-18,1.1566567159567872e+24,6.711517289921337e+22
16,17.653,0.215,12410.517069432104,2MASS,241563229253685.12,17.633539049902243,-17.203127545420234,8.685603503487779e-08,1.719943338967752e-08,3.1537426321164125e-27,6.245114263791908e-28,7.618282544490573e-13,1.5085899686198236e-13,6.138569812900777e-17,1.2155738235400175e-17,7.344769210692027e+23,1.4544282242578147e+23
17,17.69,0.42,16513.66459841462,2MASS,181542053378498.03,17.67771322883511,-17.158953366487367,8.394599865193964e-08,3.247319125889235e-08,3.0480792110519285e-27,1.1791015746103814e-27,5.533545588346794e-13,2.1405652099658893e-13,3.350888929207171e-17,1.2962387586407638e-17,4.00932246204421e+23,1.550943430530343e+23
18,18.46,0.069,34002.55186115018,WISE,88167634954048.75,18.456159107024302,-16.380507488298175,4.1304750199016106e-08,2.624972577355487e-09,1.4997754797262748e-27,9.531275428377773e-29,1.3223165700953954e-13,8.403500126157061e-15,3.888874504169836e-18,2.471432191463997e-19,4.6530196109270045e+22,2.9570567118141365e+21
19,18.953,0.136,46520.081762929745,WISE,64443665324529.66,18.95068119309962,-15.885985402222857,2.623010324308767e-08,3.2855992325084277e-09,9.524150487565133e-28,1.1930010813238101e-28,6.137711665211034e-14,7.68813624166336e-15,1.319368202422629e-18,1.6526489099573706e-19,1.5786176985972232e+22,1.977386459697634e+21
